State,mean_ndvi,Mean_Sunshine,Year
DEBW,0.1825247437900168,159.69147582340577,1999
DEBY,0.2009476599626443,158.74442690557447,1999
DEHB,0.2583192405046297,166.6086956521739,1999
DEHE,0.2068427312617357,156.96214764462616,1999
DEHH,0.2330240690597913,166.00854139290408,1999
DEMV,0.2579183340365931,175.07338928227992,1999
DENI,0.2441519531215039,162.7162414607405,1999
DENW,0.194468526632722,159.3047082247533,1999
DERP,0.1995308067064123,158.73469685534593,1999
DESH,0.3019031096259125,172.85794429446236,1999
DESL,0.2235366398449289,163.68203846153847,1999
DESN,0.1757518478353281,159.46749124343256,1999
DEST,0.2178158263910054,166.49718378247147,1999
DETH,0.2673431718827816,153.0484110429448,1999
DEBB,0.2079472758342705,164.6455602644516,2000
DEBE,0.1682065012897164,169.1586051743532,2000
DEBW,0.2490832311361736,166.91399859845828,2000
DEBY,0.2134658213948813,161.84820108077363,2000
DEHB,0.2999491443287504,147.1103678929766,2000
DEHE,0.2832746138013387,143.91533013262347,2000
DEHH,0.2457392733429811,141.85663600525623,2000
DEMV,0.2434846393628497,157.2427266369438,2000
DENI,0.3000933684333023,142.24577253942817,2000
DENW,0.3039496853634246,141.48183761309403,2000
DERP,0.2620815441069922,147.33475723270442,2000
DESH,0.2746861477822153,147.1764403766379,2000
DESL,0.3134312715964095,153.39719230769228,2000
DESN,0.2043612761351552,160.9611372591944,2000
DEST,0.238419631774249,160.90307356154406,2000
DETH,0.2357850083739095,151.9700490797546,2000
DEBB,0.1544678225641763,150.2299813527717,2001
DEBE,0.1840827332346812,151.29943757030372,2001
DEBW,0.2238596551835429,165.1069039943938,2001
DEBY,0.2048524469198253,160.83352531285556,2001
DEHB,0.2808692757046958,143.8254180602007,2001
DEHE,0.2684840822204649,144.79993345058708,2001
DEHH,0.2507906828635438,140.36084099868594,2001
DEMV,0.2342898542406013,152.23443482821924,2001
DENI,0.2985725462452504,141.03821793033651,2001
DENW,0.267554645707982,144.3936638069862,2001
DERP,0.2711076752738979,152.40338113207548,2001
DESH,0.268183063467827,149.914532165668,2001
DESL,0.2813735331000975,158.60053846153843,2001
DESN,0.1600310046168313,146.3524354203152,2001
DEST,0.2532616648376342,147.29662053896578,2001
DETH,0.1890274298729145,143.6943619631902,2001
DEBB,0.2265320085687148,159.4138837091032,2002
DEBE,0.2061837045766664,163.83115860517438,2002
DEBW,0.1578844375436978,162.8332473721093,2002
DEBY,0.1187397182756969,163.21682167235497,2002
DEHB,0.2416413276109874,150.76622073578596,2002
DEHE,0.1708984825248446,141.8217426439131,2002
DEHH,0.1625364110479883,147.9934296977661,2002
DEMV,0.2111769796432337,158.26841944225896,2002
DENI,0.1841854045882845,144.89024205110903,2002
DENW,0.1938699792482586,142.95258103241298,2002
DERP,0.1460711465621806,146.70606289308176,2002
DESH,0.2371530543575116,154.77637453084873,2002
DESL,0.1156921171401876,153.79946153846154,2002
DESN,0.2206985023115369,152.9551937390543,2002
DEST,0.1700155409270866,150.84223840738042,2002
DETH,0.1726900988457799,142.2312944785276,2002
DEBB,0.2478255353196221,203.8152805560264,2003
DEBE,0.2138592436012168,209.1861642294713,2003
DEBW,0.2568258692515777,209.55766222845128,2003
DEBY,0.2353943529342234,206.7875910125142,2003
DEHB,0.242670457153105,189.2849498327759,2003
DEHE,0.2506067925476531,197.86229975757,2003
DEHH,0.2081906195926883,192.876346911958,2003
DEMV,0.2648696490619837,199.37861701197656,2003
DENI,0.2648361570687856,189.3251623513536,2003
DENW,0.2657242853334128,197.7972798875648,2003
DERP,0.2843656218802186,206.1975798742138,2003
DESH,0.2453793955656267,194.7919997366168,2003
DESL,0.3002671821363636,213.309,2003
DESN,0.2212362874100672,203.0940345884413,2003
DEST,0.2286825421074204,201.5242971595047,2003
DETH,0.1366658435541221,195.2848650306749,2003
DEBB,0.2209270656895055,163.385326326496,2004
DEBE,0.1910979928036973,166.09088863892012,2004
DEBW,0.245763867219477,165.8209081990189,2004
DEBY,0.2140062646241109,164.91271899886237,2004
DEHB,0.173693001554658,147.09331103678932,2004
DEHE,0.2305014638022849,152.071036744783,2004
DEHH,0.1728712719275934,154.7666228646518,2004
DEMV,0.1841900818618955,163.19090392516827,2004
DENI,0.1965953131363659,151.33000969891205,2004
DENW,0.2019847458892156,149.84194653471144,2004
DERP,0.1771173180645319,158.83409811320757,2004
DESH,0.1958656509314112,158.3277671692895,2004
DESL,0.2602725768198115,162.03223076923078,2004
DESN,0.2118087980621155,158.8726247810858,2004
DEST,0.2336442664223444,158.4990191794125,2004
DETH,0.2171998567259941,154.6207300613497,2004
DEBB,0.2142775232235921,185.85682997118155,2005
DEBE,0.1698742088486174,187.27322834645668,2005
DEBW,0.2103342910485551,174.9534071478626,2005
DEBY,0.2336231908909121,172.91532423208193,2005
DEHB,0.2478699925154005,166.4635451505017,2005
DEHE,0.2173795793030046,166.78467462090603,2005
DEHH,0.271538800366401,178.2586070959264,2005
DEMV,0.2090489470065562,185.93856543404144,2005
DENI,0.2781346111004945,167.51480560006746,2005
DENW,0.2722395900203255,164.65946476151436,2005
DERP,0.2421094189810134,171.11645283018868,2005
DESH,0.2519363749733938,182.31732402712845,2005
DESL,0.2826451155665455,174.5198846153846,2005
DESN,0.2213697966806536,179.82624781085815,2005
DEST,0.2043508172939813,179.171798980335,2005
DETH,0.2268988265701653,172.8405337423313,2005
DEBB,0.2165494577156348,186.22752330903543,2006
DEBE,0.1653749616664769,188.5124859392576,2006
DEBW,0.2113202795841008,183.8239467414156,2006
DEBY,0.2140421595617092,183.24900170648465,2006
DEHB,0.2307570619876352,160.17357859531774,2006
DEHE,0.2564085732667009,170.92489423396873,2006
DEHH,0.1432316710530552,165.57897503285153,2006
DEMV,0.2328597357003838,178.59415158667716,2006
DENI,0.2318065699657322,166.51921860504342,2006
DENW,0.2188084297706177,166.47066729130677,2006
DERP,0.2525857728863391,172.43206540880502,2006
DESH,0.2599846197756296,167.5763416079542,2006
DESL,0.2503383736214705,172.21830769230772,2006
DESN,0.2073136384322255,185.52564579684767,2006
DEST,0.2131393438254765,182.8782665695557,2006
DETH,0.2031524433777403,178.30384049079754,2006
DEBB,0.2484489854535057,172.42568570944226,2007
DEBE,0.1582613440703341,174.0506186726659,2007
DEBW,0.2360466112824826,185.1076271899089,2007
DEBY,0.2504881876467166,182.44808020477817,2007
DEHB,0.1961602773900177,152.27123745819398,2007
DEHE,0.26822751618682,161.47545752721396,2007
DEHH,0.1666652946557793,155.88567674113008,2007
DEMV,0.2608189708737693,165.75620246525042,2007
DENI,0.248201008082897,153.76056127182255,2007
DENW,0.2497911227924459,152.784950077592,2007
DERP,0.2380754311227055,170.07499874213838,2007
DESH,0.2242422475002909,165.2753868440113,2007
DESL,0.2413209994837404,175.10892307692305,2007
DESN,0.2440825756345673,171.48235004378287,2007
DEST,0.2637594692609715,169.0156737072105,2007
DETH,0.2580648888433712,163.7568343558282,2007
DEBB,0.2791965641504808,167.04322766570604,2008
DEBE,0.2427434623570638,169.13430821147355,2008
DEBW,0.2405324113909238,169.2041009110021,2008
DEBY,0.2480671881142219,170.8965941410694,2008
DEHB,0.2595522462550134,161.95150501672242,2008
DEHE,0.2924231803067751,150.51754527736844,2008
DEHH,0.2533838794110407,163.4059132720105,2008
DEMV,0.2406188044025204,174.84756097560975,2008
DENI,0.2849512461863797,159.79986927553344,2008
DENW,0.2687896049440967,151.56506017040962,2008
DERP,0.2956592891768763,152.61247295597485,2008
DESH,0.2935601963207009,170.84262856390333,2008
DESL,0.3168441396833644,152.79042307692308,2008
DESN,0.2063601117734234,161.50574649737302,2008
DEST,0.2910906790985301,165.9620587521243,2008
DETH,0.3185650051866276,155.02454601226995,2008
DEBB,0.2224482755140933,178.10128496355316,2009
DEBE,0.1974902635049138,179.20224971878514,2009
DEBW,0.2090852441239023,172.97769866853542,2009
DEBY,0.2033930919297126,168.3732878270762,2009
DEHB,0.235125324784707,172.83244147157188,2009
DEHE,0.2205878807858115,156.65895802633457,2009
DEHH,0.1998345485577766,174.14441524310118,2009
DEMV,0.1962978573629062,181.7260250021855,2009
DENI,0.2366800811609258,168.16188960107954,2009
DENW,0.1810055882591472,159.66354346616694,2009
DERP,0.2414963086976429,164.11315220125786,2009
DESH,0.2411312901851887,179.1369394877198,2009
DESL,0.2460494571184381,171.15992307692306,2009
DESN,0.2362097780501522,164.54345993870405,2009
DEST,0.2334084103488913,170.79662539451323,2009
DETH,0.2262099879507423,154.8169263803681,2009
DEBB,0.1844973340026049,157.49059162569924,2010
DEBE,0.1448980213519344,154.6240719910011,2010
DEBW,0.1944316968902801,157.44269096005607,2010
DEBY,0.1963309735681588,154.40725255972697,2010
DEHB,0.2301447111570302,158.776254180602,2010
DEHE,0.2760407746607423,149.66789941531587,2010
DEHH,0.2162934910804964,152.83363994743758,2010
DEMV,0.2555261798405359,157.77140921409213,2010
DENI,0.2805335014259494,151.01901830142532,2010
DENW,0.254158987891827,146.9036424325828,2010
DERP,0.2256879702245383,155.45168301886793,2010
DESH,0.2822553287002469,158.35447422137355,2010
DESL,0.2064619273779478,158.53473076923078,2010
DESN,0.1940020830372999,155.8427211033275,2010
DEST,0.2126979586788064,153.3530614226754,2010
DETH,0.2470666749311805,147.31407975460124,2010
DEBB,0.2259949886032007,195.00822512290225,2011
DEBE,0.1912666180824636,194.81968503937009,2011
DEBW,0.2435891363783858,198.3151562718991,2011
DEBY,0.2374118855021802,192.8435978384528,2011
DEHB,0.1978366344641736,166.28327759197325,2011
DEHE,0.2265734318903878,179.80413081713175,2011
DEHH,0.229073705683034,163.39737187910643,2011
DEMV,0.2184336308892835,180.65774543229304,2011
DENI,0.234801577018303,166.7237707683225,2011
DENW,0.2318718886401287,173.36672620267618,2011
DERP,0.2220786832256118,182.30345157232705,2011
DESH,0.252026766004981,165.45227497201554,2011
DESL,0.2467086542863185,184.14911538461536,2011
DESN,0.2277188669671823,198.83804181260948,2011
DEST,0.2226512792905794,189.6719252245691,2011
DETH,0.2198090986267981,188.04082822085888,2011
DEBB,0.2527470237470792,175.0658993049669,2012
DEBE,0.2107183007968716,174.28773903262092,2012
